"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-03","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","6.3","","","","1"
"2020-04","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","7.6","","","","1"
"2020-05","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","9.3","","","","1"
"2020-06","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","9.6","","","","1"
"2020-07","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","8.5","","","","1"
"2020-08","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","7.5","","","","1"
"2020-09","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","7.4","","","","1"
"2020-10","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","8.1","","","","1"
"2020-11","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","8.3","","","","1"
"2020-12","Moncton, New Brunswick","2011S0503305","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445871","8.5.1.2","8.3","","","","1"
"2020-01","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","7.4","","","","1"
"2020-02","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","7.1","","","","1"
"2020-03","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","8.1","","","","1"
"2020-04","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","9.9","","","","1"
"2020-05","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","12.0","","","","1"
"2020-06","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","11.9","","","","1"
"2020-07","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","10.3","","","","1"
"2020-08","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","10.0","","","","1"
"2020-09","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","10.5","","","","1"
"2020-10","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","10.1","","","","1"
"2020-11","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","9.9","","","","1"
"2020-12","Saint John, New Brunswick","2011S0503310","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445885","9.5.1.2","10.5","","","","1"
"2020-01","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","5.1","","","","1"
"2020-02","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","5.2","","","","1"
"2020-03","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","6.4","","","","1"
"2020-04","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","10.6","","","","1"
"2020-05","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","13.4","","","","1"
"2020-06","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","13.8","","","","1"
"2020-07","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","10.8","","","","1"
"2020-08","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","9.4","","","","1"
"2020-09","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","8.3","","","","1"
"2020-10","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","7.5","","","","1"
"2020-11","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","6.7","","","","1"
"2020-12","Quebec","2016A000224","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445899","10.5.1.2","6.7","","","","1"
"2020-01","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","5.9","","","","1"
"2020-02","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","6.5","","","","1"
"2020-03","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","8.3","","","","1"
"2020-04","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","13.1","","","","1"
"2020-05","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","15.0","","","","1"
"2020-06","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","13.1","","","","1"
"2020-07","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","7.9","","","","1"
"2020-08","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","5.8","","","","1"
"2020-09","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","4.6","","","","1"
"2020-10","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","4.0","","","","1"
"2020-11","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","4.0","","","","1"
"2020-12","Saguenay, Quebec","2011S0503408","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445913","11.5.1.2","5.0","","","","1"
"2020-01","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","4.3","","","","1"
"2020-02","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","4.5","","","","1"
"2020-03","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","6.2","","","","1"
"2020-04","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","9.9","","","","1"
"2020-05","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","12.1","","","","1"
"2020-06","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","11.6","","","","1"
"2020-07","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","8.1","","","","1"
"2020-08","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","6.1","","","","1"
"2020-09","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","5.0","","","","1"
"2020-10","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","4.5","","","","1"
"2020-11","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","4.0","","","","1"
"2020-12","Québec, Quebec","2011S0503421","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445927","12.5.1.2","3.9","","","","1"
"2020-01","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","4.5","","","","1"
"2020-02","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","4.7","","","","1"
"2020-03","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","6.5","","","","1"
"2020-04","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","10.4","","","","1"
